train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,796,26.853164672851562,0.0104898102581501,100.0,29200,292,-39.43229853,0.008517863228917122,29099,0.5674307346343994,36,,
0.0003,,26.954357147216797,0.010130953043699265,,29500,,,0.008569463156163692,29399,-0.19806236028671265,,100.0,-36.70765836
0.0003,809,27.254440307617188,0.010541688650846481,100.0,29600,296,-39.20464574,0.008546130731701851,29499,-0.17708134651184082,36,,
0.0003,,27.398733139038086,0.00976034626364708,,30000,,,0.008505789563059807,29899,1.1092720031738281,,100.0,-36.83044318
,821,,,100.0,30000,300,-39.44261878,,,,36,,
0.0003,826,27.612472534179688,0.010115103796124458,100.0,30400,304,-39.48664712,0.008572541177272797,30299,0.18803933262825012,36,,
0.0003,,27.630596160888672,0.008119342848658562,,30500,,,0.008582431823015213,30399,0.5438793897628784,,100.0,-37.517713019999995
0.0003,839,27.97626495361328,0.011885764077305794,100.0,30800,308,-39.401777620000004,0.008594971150159836,30699,-2.3844940662384033,36,,
0.0003,,28.255451202392578,0.014125198125839233,,31000,,,0.008622820489108562,30899,2.0314877033233643,,100.0,-36.77271074
0.0003,851,28.08967399597168,0.013387041166424751,100.0,31200,312,-39.20451296,0.008607534691691399,31099,-0.6440575122833252,36,,
0.0003,,28.406452178955078,0.013161486014723778,,31500,,,0.008519378490746021,31399,0.878108561038971,,100.0,-37.577106580000006
0.0003,864,28.84115219116211,0.011067087762057781,100.0,31600,316,-38.97890725,0.008541477844119072,31499,0.5410573482513428,36,,
0.0003,,28.935409545898438,0.016613271087408066,,32000,,,0.008586287498474121,31899,-0.3436428904533386,,100.0,-38.266547540000005
,876,,,100.0,32000,320,-39.1747989,,,,36,,
0.0003,882,29.18239402770996,0.00897177029401064,100.0,32400,324,-39.050136990000006,0.008630833588540554,32299,0.392219603061676,36,,
0.0003,,29.273372650146484,0.011578734964132309,,32500,,,0.008651381358504295,32399,-1.0102342367172241,,100.0,-37.28661632
0.0003,894,29.38701629638672,0.010331488214433193,100.0,32800,328,-39.21052845999999,0.008632931858301163,32699,1.2809545993804932,36,,
0.0003,,29.314212799072266,0.01159122958779335,,33000,,,0.008610280230641365,32899,-0.7093772888183594,,100.0,-36.44096108
0.0003,907,29.819303512573242,0.012220967561006546,100.0,33200,332,-39.09963579,0.008606212213635445,33099,-0.253141850233078,36,,
0.0003,,29.690994262695312,0.011007141321897507,,33500,,,0.008633273653686047,33399,-1.7114231586456299,,100.0,-37.81522562
0.0003,919,29.98488998413086,0.009511671960353851,100.0,33600,336,-38.93805773,0.008666059002280235,33499,-0.98920738697052,36,,
0.0003,,29.973491668701172,0.011274171993136406,,34000,,,0.00865690317004919,33899,-0.8071460127830505,,100.0,-36.6022444
,932,,,100.0,34000,340,-38.90160451,,,,36,,
0.0003,937,29.974472045898438,0.012398479506373405,100.0,34400,344,-38.912831559999994,0.00865134410560131,34299,1.978728175163269,36,,
0.0003,,30.369651794433594,0.01161288097500801,,34500,,,0.00869236420840025,34399,-0.7499833106994629,,100.0,-38.4151455
0.0003,949,30.346790313720703,0.009531610645353794,100.0,34800,348,-38.893031719999996,0.008649017661809921,34699,1.8683183193206787,36,,
0.0003,,30.544078826904297,0.009881623089313507,,35000,,,0.008669808506965637,34899,0.8668692708015442,,100.0,-36.7305019
0.0003,962,30.597803115844727,0.007994118146598339,100.0,35200,352,-38.81307304,0.00869291927665472,35099,0.4177233874797821,36,,
0.0003,,30.608612060546875,0.010770128108561039,,35500,,,0.00866650976240635,35399,-0.7790776491165161,,100.0,-36.366134839999994
0.0003,974,30.44672393798828,0.009397543035447598,100.0,35600,356,-38.700699830000005,0.008660474792122841,35499,-0.7024742960929871,36,,
0.0003,,31.125492095947266,0.011736121028661728,,36000,,,0.008640831336379051,35899,-0.5275370478630066,,100.0,-40.15417977999999
,986,,,100.0,36000,360,-38.771671059999996,,,,36,,
0.0003,992,31.236957550048828,0.008920513093471527,100.0,36400,364,-38.932946799999996,0.008663737215101719,36299,-0.6612846851348877,36,,
0.0003,,31.502883911132812,0.012366821989417076,,36500,,,0.00864013098180294,36399,0.6816831827163696,,100.0,-41.35549406
0.0003,1004,31.44843292236328,0.009038934484124184,100.0,36800,368,-39.24932254,0.008580880239605904,36699,-0.9500051736831665,36,,
0.0003,,31.638687133789062,0.010194896720349789,,37000,,,0.008573555387556553,36899,0.014616966247558594,,100.0,-38.467848200000006
0.0003,1016,31.63595199584961,0.009899601340293884,100.0,37200,372,-39.41470573,0.008522800169885159,37099,0.23297029733657837,36,,
0.0003,,31.478931427001953,0.013053691014647484,,37500,,,0.008536445908248425,37399,-0.7493436932563782,,100.0,-36.79355846
0.0003,1029,31.91910171508789,0.009700953029096127,100.0,37600,376,-39.649726189999996,0.008550642989575863,37499,-0.6539510488510132,36,,
0.0003,,32.08284378051758,0.013442065566778183,,38000,,,0.008600924164056778,37899,-1.671783208847046,,100.0,-37.50010238
,1041,,,100.0,38000,380,-39.58045846,,,,36,,
0.0003,1046,32.28878402709961,0.013062624260783195,100.0,38400,384,-39.747498879999995,0.008600079454481602,38299,-0.012737244367599487,36,,
0.0003,,32.43328094482422,0.011006241664290428,,38500,,,0.008502171374857426,38399,-0.5276345610618591,,100.0,-36.915156339999996
0.0003,1059,32.680030822753906,0.009561428800225258,100.0,38800,388,-40.00510661,0.008537325076758862,38699,2.2906999588012695,36,,
0.0003,,32.42760467529297,0.00839156098663807,,39000,,,0.008557727560400963,38899,1.6847118139266968,,100.0,-37.67847046
0.0003,1071,32.734371185302734,0.009936382062733173,100.0,39200,392,-39.86739969999999,0.008570019155740738,39099,-0.20256485044956207,36,,
0.0003,,33.02758026123047,0.011739292182028294,,39500,,,0.008497417904436588,39399,-0.18498355150222778,,100.0,-38.127435139999996
