eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
,,2.3443665504455566,-61.1787109375,118096,118197,0.001,9,977.25,124,1042.22256096,12320
1412.30491732,936.8,3.197171688079834,-61.62611770629883,118399,118500,0.001,,,,,
1169.5647161,880.66,2.8172993659973145,-61.48949432373047,118899,119000,0.001,,,,,
1713.8608560399998,949.56,2.701061725616455,-59.436676025390625,119399,119500,0.001,,,,,
1484.9877249400001,931.7,3.1316189765930176,-61.62694549560547,119899,120000,0.001,,,,,
1572.95527126,994.16,2.633157253265381,-63.22787094116211,120399,120500,0.001,,,,,
1355.1327971599999,902.04,3.322510242462158,-63.183204650878906,120899,121000,0.001,,,,,
1729.51225884,971.98,2.6699533462524414,-62.22842788696289,121399,121500,0.001,,,,,
1646.9144322999998,916.7,4.048935413360596,-64.35244750976562,121899,122000,0.001,,,,,
,,3.183021306991577,-63.87718963623047,122096,122197,0.001,9,985.32,128,1073.7832377400002,12724
1361.99390482,895.56,2.7683920860290527,-65.00079345703125,122399,122500,0.001,,,,,
1615.57593026,927.32,2.492363452911377,-64.75760650634766,122899,123000,0.001,,,,,
1810.10863778,940.48,3.117915630340576,-64.19416809082031,123399,123500,0.001,,,,,
1684.6940184599998,981.08,3.129269599914551,-66.18949890136719,123899,124000,0.001,,,,,
1520.60240506,943.46,2.585775375366211,-65.63029479980469,124399,124500,0.001,,,,,
1718.2491920999998,984.9,3.0686841011047363,-65.330078125,124899,125000,0.001,,,,,
,,2.6993534564971924,-65.85726165771484,125388,125489,0.001,9,978.24,132,1073.5709864199998,13030
1607.5090820599999,883.56,3.8612773418426514,-62.43362808227539,125399,125500,0.001,,,,,
1679.6167904,973.44,3.0801501274108887,-66.22395324707031,125899,126000,0.001,,,,,
1672.8541659600003,966.4,3.0424535274505615,-63.373573303222656,126399,126500,0.001,,,,,
1663.8375692800003,977.04,3.6319174766540527,-64.96607208251953,126899,127000,0.001,,,,,
1842.5977341400003,1000.0,3.1691389083862305,-65.97974395751953,127399,127500,0.001,,,,,
1488.8402525999998,928.1,3.588845729827881,-66.23771667480469,127899,128000,0.001,,,,,
1710.0660689,1000.0,3.3776774406433105,-66.84968566894531,128399,128500,0.001,,,,,
1728.29326872,983.64,3.0949254035949707,-67.68929290771484,128899,129000,0.001,,,,,
,,3.083972215652466,-66.52434539794922,129388,129489,0.001,9,978.24,136,1114.55402224,13445
1925.43921926,970.2,3.715425491333008,-67.57093811035156,129399,129500,0.001,,,,,
1847.2363131600002,984.02,3.69096040725708,-67.05097961425781,129899,130000,0.001,,,,,
1616.3525787600001,954.82,3.856712818145752,-64.09947204589844,130399,130500,0.001,,,,,
1577.48171696,969.54,3.8248870372772217,-66.562744140625,130899,131000,0.001,,,,,
1761.28889028,967.0,3.4236693382263184,-67.16378784179688,131399,131500,0.001,,,,,
1838.91012592,969.12,3.1684257984161377,-66.34019470214844,131899,132000,0.001,,,,,
1770.0949055999997,962.94,4.354740619659424,-68.35389709472656,132399,132500,0.001,,,,,
1913.19433996,992.3,5.756872653961182,-68.11572265625,132899,133000,0.001,,,,,
,,3.0848047733306885,-69.79481506347656,133388,133489,0.001,9,978.24,140,1150.07424437,13862
1774.06246266,965.54,3.980525016784668,-69.959716796875,133399,133500,0.001,,,,,
1988.3150342799997,1000.0,3.658202648162842,-69.14710998535156,133899,134000,0.001,,,,,
1910.15047276,1000.0,3.8147711753845215,-71.58871459960938,134399,134500,0.001,,,,,
1764.0148377799999,942.52,3.5023193359375,-69.13919067382812,134899,135000,0.001,,,,,
1790.63516684,962.92,4.0951924324035645,-68.86024475097656,135399,135500,0.001,,,,,
1979.7390445,1000.0,3.5703446865081787,-67.80343627929688,135899,136000,0.001,,,,,
1852.90988916,996.32,4.031618595123291,-70.53941345214844,136399,136500,0.001,,,,,
1972.0581218799998,1000.0,3.863496780395508,-70.74716186523438,136899,137000,0.001,,,,,
,,4.142583847045898,-69.71295166015625,137388,137489,0.001,9,985.03,144,1199.2423836500002,14284
1863.6879579400002,953.06,4.3353142738342285,-72.44511413574219,137399,137500,0.001,,,,,
1985.07522868,1000.0,4.48123836517334,-71.41012573242188,137899,138000,0.001,,,,,
1907.8739644799998,951.24,8.009623527526855,-72.90263366699219,138399,138500,0.001,,,,,
1864.67708654,961.24,5.310833930969238,-72.00825500488281,138899,139000,0.001,,,,,
2043.0243799799998,1000.0,4.7154130935668945,-70.14681243896484,139399,139500,0.001,,,,,
1953.9012907000003,994.72,3.778266429901123,-71.71267700195312,139899,140000,0.001,,,,,
2042.650216,1000.0,5.058473110198975,-72.67118835449219,140399,140500,0.001,,,,,
1922.15228644,992.44,4.616577625274658,-73.63563537597656,140899,141000,0.001,,,,,
,,5.957653999328613,-71.63546752929688,141388,141489,0.001,9,985.03,148,1239.1889536899998,14707
2022.62385484,1000.0,4.557573318481445,-71.52948760986328,141399,141500,0.001,,,,,
1922.38652834,962.76,4.481846809387207,-74.69422912597656,141899,142000,0.001,,,,,
1917.5894796000002,980.64,5.017572402954102,-75.45281219482422,142399,142500,0.001,,,,,
1779.7788103400003,972.18,4.072062015533447,-73.67527770996094,142899,143000,0.001,,,,,
1846.2574246200002,963.22,5.552272319793701,-76.39471435546875,143399,143500,0.001,,,,,
1944.6463559999997,972.82,4.90231990814209,-74.85832214355469,143899,144000,0.001,,,,,
1781.0489850800002,968.44,5.056075096130371,-72.76730346679688,144399,144500,0.001,,,,,
1985.1965519400003,981.5,4.709510803222656,-74.92082214355469,144899,145000,0.001,,,,,
,,5.319396018981934,-73.37718200683594,145388,145489,0.001,9,985.03,152,1278.77346838,15127
2016.2953701400004,983.36,6.339962005615234,-76.06906127929688,145399,145500,0.001,,,,,
